[12:52:31] GPU monitor started (nb84 PID parent=1801745)
[15:05:48] GPU2: util=6% mem=35047MiB free=10338MiB | nb84=3788MiB
[15:06:48] GPU2: util=7% mem=35047MiB free=10338MiB | nb84=3788MiB
[15:07:49] GPU2: util=3% mem=35047MiB free=10338MiB | nb84=3788MiB
[15:08:50] GPU2: util=3% mem=35047MiB free=10338MiB | nb84=3788MiB
[15:09:50] GPU2: util=20% mem=35047MiB free=10338MiB | nb84=3788MiB
[15:10:51] GPU2: util=18% mem=35047MiB free=10338MiB | nb84=3788MiB
[15:11:52] GPU2: util=36% mem=35047MiB free=10338MiB | nb84=3788MiB
[15:12:53] GPU2: util=16% mem=35047MiB free=10338MiB | nb84=3788MiB
[15:13:54] GPU2: util=17% mem=35047MiB free=10338MiB | nb84=3788MiB
[15:14:54] GPU2: util=25% mem=35047MiB free=10338MiB | nb84=3788MiB
[15:15:55] GPU2: util=35% mem=35027MiB free=10358MiB | nb84=3788MiB
[15:16:56] GPU2: util=6% mem=35031MiB free=10354MiB | nb84=3788MiB
[15:17:56] GPU2: util=21% mem=35031MiB free=10354MiB | nb84=3788MiB
[15:18:57] GPU2: util=3% mem=35031MiB free=10354MiB | nb84=3788MiB
[15:19:57] GPU2: util=17% mem=35031MiB free=10354MiB | nb84=3788MiB
[15:20:58] GPU2: util=21% mem=35031MiB free=10354MiB | nb84=3788MiB
[15:21:59] GPU2: util=6% mem=35031MiB free=10354MiB | nb84=3788MiB
[15:22:59] GPU2: util=4% mem=35031MiB free=10354MiB | nb84=3788MiB
[15:24:00] GPU2: util=4% mem=35031MiB free=10354MiB | nb84=3788MiB
[15:25:01] GPU2: util=3% mem=35031MiB free=10354MiB | nb84=3788MiB
[15:26:02] GPU2: util=6% mem=35031MiB free=10354MiB | nb84=3788MiB
[15:27:02] GPU2: util=7% mem=35031MiB free=10354MiB | nb84=3788MiB
[15:28:03] GPU2: util=3% mem=35031MiB free=10354MiB | nb84=3788MiB
[15:29:04] GPU2: util=6% mem=35031MiB free=10354MiB | nb84=3788MiB
[15:30:05] GPU2: util=4% mem=35031MiB free=10354MiB | nb84=3788MiB
[15:31:05] GPU2: util=3% mem=35029MiB free=10356MiB | nb84=3788MiB
[15:32:06] GPU2: util=12% mem=35031MiB free=10354MiB | nb84=3788MiB
